year_,fire_name,alarm_date,cause,gis_acres,shape_area,cause_desc
2007,PANOCHE,2007-03-22,11,73.78704833984379,298605.60141874803,Power Line
2007,TAR,2007-08-10,14,5671.0283203125,22949836.578913502,Unknown/Unidentified
2007,BOURLAND,2007-10-30,1,29.3580684661865,118807.885898968,Lightning
2007,MONO,2007-04-05,1,98.08346557617192,396929.695897246,Lightning
2007,MOONLIGHT,2007-09-03,2,64959.95703125,262883613.948089,Equipment Use
2007,MCCOY,2007-10-21,9,353.139282226562,1429103.9905603,Miscellaneous
2007,NORTH,2007-09-02,1,2122.34252929688,8588815.77782602,Lightning
2007,OAK,2007-07-06,1,27062.869140625,109519543.383013,Lightning
2007,OHAREL,2007-10-29,1,596.9158935546881,2415632.97951844,Lightning
2007,PINE,2007-09-12,4,2111.76806640625,8546022.39768294,Campfire
2007,PIONEER,2007-07-11,1,25.0635032653809,101428.399607531,Lightning
2007,POOMACHA,2007-10-23,9,49410.96875,199959093.235808,Miscellaneous
2007,RATTLESNAKE,2007-07-10,1,14.4309339523315,58399.9179899646,Lightning
2007,RICHBAR,2007-10-23,9,13.432594299316401,54359.78211212059,Miscellaneous
2007,RIVER,2007-08-01,2,149.886734008789,606570.0775686429,Equipment Use
2007,RALSTON,2006-09-05,9,8421.0439453125,34078757.4867931,Miscellaneous
2007,PASS,2007-07-10,14,444.157135009766,1797440.14677488,Unknown/Unidentified
2007,EIGHTY,2007-08-22,2,78.04229736328121,315825.982030437,Equipment Use
2007,ATHENS,2007-08-02,10,15.1861085891724,61456.002521580194,Vehicle
2007,WEST BUTTE,2007-07-27,14,83.3137512207031,337158.79817573697,Unknown/Unidentified
2007,PEACE VALLEY,2007-09-21,1,282.39373779296903,1142806.91978709,Lightning
2007,CROSBY,2007-05-28,1,20.3093566894531,82189.04904708269,Lightning
2007,FIDDYMENT,2007-06-01,8,62.634059906005895,253471.043812802,Playing with Fire
2007,WILSON,2007-04-09,5,13.753272056579599,55657.51577016059,Debris
2007,SMARTVILLE,2007-06-29,1,197.490646362305,799216.2904047141,Lightning
2007,SIXTY-FIVE,2007-07-23,14,29.6079635620117,119819.17903185199,Unknown/Unidentified
2007,SIXTY-FIVE 2,2007-09-14,14,30.9279384613037,125160.92928928,Unknown/Unidentified
2007,COLINA,2007-09-10,14,374.446594238281,1515331.58961138,Unknown/Unidentified
2007,LAGUNA,2007-09-12,14,12.4393472671509,50340.2511371034,Unknown/Unidentified
2007,POLK,2007-05-10,14,84.79376220703121,343148.174668699,Unknown/Unidentified
2007,MOCKINGBIRD,2007-10-05,14,737.2715454101559,2983632.1455307,Unknown/Unidentified
2007,PETERSON,2007-07-06,7,14.476454734802198,58584.1341300583,Arson
2007,JASPER,2007-10-02,2,85.65826416015621,346646.704652282,Equipment Use
2007,MOONEY,2007-08-23,14,49.37544250488279,199815.329332816,Unknown/Unidentified
2007,NADER,2007-07-29,14,16.2715473175049,65848.619407683,Unknown/Unidentified
2007,COLBY,2007-08-10,7,253.650283813477,1026486.28578242,Arson
2007,COYOTE,2007-08-30,1,18.4254112243652,74564.9946273597,Lightning
2007,DEVIL,2007-08-09,4,12.168941497802699,49245.9589963017,Campfire
2007,DOME,2007-07-10,1,65.504150390625,265085.882176147,Lightning
2007,ELK,2007-07-10,1,1144.69445800781,4632414.09463055,Lightning
2007,FLETCHER,2007-07-10,1,8081.95654296875,32706518.2087945,Lightning
2007,GOLDLEDGE,2007-06-03,9,4196.01708984375,16980678.5333832,Miscellaneous
2007,GRANITE,2007-07-10,1,10.1074209213257,40903.2809563993,Lightning
2007,GROUSE,2007-08-27,1,1004.1141967773401,4063506.09089598,Lightning
2007,ANGORA,2007-06-23,4,3069.80493164062,12423059.366686301,Campfire
2007,GRASS VALLEY,2007-10-22,9,1242.37072753906,5027695.80886066,Miscellaneous
2007,HARVEY,2007-07-12,1,15.229740142822301,61632.570264544,Lightning
2007,HAUSER,2007-06-05,4,17.117609024047898,69272.5081155189,Campfire
2007,HOWARDS GULCH,2007-04-16,6,21.997741699218803,89021.7014776725,Railroad
2007,HUMMINGBIRD,2007-07-10,1,80.3007354736328,324965.531887705,Lightning
2007,JAMES,2007-04-29,9,1348.93237304688,5458935.74362043,Miscellaneous
2007,JEDIDIAH,2007-07-11,1,85.5855712890625,346352.529276806,Lightning
2007,LAZY,2007-08-29,1,597.479187011719,2417912.5373466,Lightning
2007,MARBLE,2007-10-18,5,26.6055965423584,107669.027949589,Debris
